# Inventario Champanillo → cat|proveedor|producto|unidad_hoja|precio
# cat: P C L Z FV BA BNA PAN PK CF
L|QUE´S LIDER S.L.|ATÚN AMETA A.VEGETAL BOLSA 950gr|UNIDAD|6.07
L|QUE´S LIDER S.L.|BARRA YORK 11x11 LONCH. 500gr|UNIDAD|2.61
L|QUE´S LIDER S.L.|LONCHAS EDAM 40% M.G.AMETA 1Kg|UNIDAD|5.92
L|QUE´S LIDER S.L.|MANTEQUILLA CASTILLO BARRA 1Kg|KG|9.30
L|QUE´S LIDER S.L.|MASCARPONE SPIGA 500gr (ALTERNATIVO)|UNIDAD 500gr|3.41
L|QUE´S LIDER S.L.|MASCARPONE 2KG|UNIDAD 2KG|6.53
L|QUE´S LIDER S.L.|MORRO CERDO COCIDO 500gr|UNIDAD|3.04
L|QUE´S LIDER S.L.|CREME FRAICHE 2Kg|UNIDAD|12.37
L|QUE´S LIDER S.L.|NATA LÍQUIDA BRIK 1L|UNIDAD|4.60
L|QUE´S LIDER S.L.|LASCA TIPO PARMA 500gr|UNIDAD|6.91
L|QUE´S LIDER S.L.|PROVOLONE DOLCE LONCHAS 1Kg|UNIDAD|10.42
L|QUE´S LIDER S.L.|CABRA RULO MEZCLA 1Kg|UNIDAD|9.40
L|QUE´S LIDER S.L.|Q. BLANCO CREMA HORNEAR 60% AMETA 2Kg|UNIDAD 2KG|14.60
L|QUE´S LIDER S.L.|POMODORI SECCHI ARTIGIANA 1Kg|UNIDAD|9.05
L|QUE´S LIDER S.L.|SALSA TRUFADA 500gr|UNIDAD|12.73
L|QUE´S LIDER S.L.|PROVOLONE SPIGA 2,5KG x2 (ALTERNATIVO)|KG|9.81
L|JOSEP XARGAYÓ S.A.|FORMATGE OVELLA CURAT RINYA|KG|14.45
L|CAHE, S.A|LONCHEADO PALETA DUROC 500gr|UNIDAD|11.20
L|ANMA|SALSA PAPAS BRAVA MILLAS 1.850 GR|UNIDAD|5.44
L|ANMA|SALSA PAPAS BRAVA MILLAS 770ml C/12 (BIBERÓN)|BIBERON 770ml|2.14
L|ANMA|MANTEQUILLA PASTILLA 15gr RENY PICOT|CAJA 100ud|16.01
L|ANMA|SALSA BARBACOA MILLAS 30gr C/64|CAJA 64 UD.|8.51
L|ANMA|SALSA ALIOLI MILLAS 25ml C/64|CAJA 64 UD.|9.74
L|ANMA|SALSA ALIOLI MILLAS 770ml C/12 (BIBERON)|UNIDAD|3.50
L|ANMA|LECHE SIN LACTOSA ATO 1L C/6|CAJA 6ud|8.06
L|ANMA|SALSA ROSA MILLAS 1,850Kg|UNIDAD|4.87
L|ASSOLIM|BURRATA VASETTO 125gr*6 LA DIARIA|CAJA|10.21
L|ASSOLIM|GUACAMOLE 500gr|UNIDAD|4.55
L|VALLES AUTENTIC S.L.U.|CERVELA AL VACIO|KG|9.03
L|VALLES AUTENTIC S.L.U.|FRANKFURT "VALLES" AL VACIO|KG|9.03
L|TEODORO GARCIA, S.A.|LON. BURGER CHEDDAR 2Kg|UNIDAD|14.98
L|GRAU VILA S.L.U.|FUET LONCHEADO 525gr|KG|11.90
